A,B,D1,D2,D4,D5,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F35,G,0,1,2,3,4,0,1,2,3,0,1,2,3,4,5,6
1.7,-0.00877423005052095,-0.02920785647639634,-0.07153940206578384,-0.17611866309122995,-0.4785647371700702,-0.19236492771281447,-0.24924026327146384,-0.0054700501737467355,0.8479963150621833,0.8479963150621833,0.8479963150621833,0.15059363220184435,0.3273632711774379,-0.20470878278902008,0.13317678255970197,0.6018331499468572,-0.37227534198150825,-0.15911585384239538,0.9538442864790169,-0.03820331365241544,0.7574039954279471,0.04393204541143956,-0.294617864861992,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9,0.006180904545690413,-0.02920785647639634,-0.07153940206578384,-0.2898137535305064,-0.4755508733967128,-0.19236492771281447,-0.24924026327146384,-0.0016386325492256594,0.8479963150621833,0.8479963150621833,0.8479963150621833,0.15059363220184435,0.3226013664155331,-0.20470878278902008,0.13317678255970197,0.6018331499468572,-0.37227534198150825,-0.15911585384239538,0.9538442864790169,-0.03820331365241544,0.7574039954279471,0.04393204541143956,-0.294617864861992,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.6,0.020139030168821025,-0.02920785647639634,-0.07153940206578384,-0.16836672510673384,-0.47133146411401233,-0.19236492771281447,-0.24446243240667645,0.002192785075295416,0.8479963150621833,0.8479963150621833,0.8479963150621833,0.15059363220184435,0.3178394616536285,-0.2087573657849715,0.13317678255970197,0.6018331499468572,-0.37227534198150825,-0.15911585384239538,0.9538442864790169,-0.03820331365241544,0.7574039954279471,0.04393204541143956,-0.294617864861992,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.4,0.04705827244200149,-0.02920785647639634,-0.07153940206578384,-0.19937447704471833,-0.46650928207664044,-0.19236492771281447,-0.24446243240667645,0.006024202699816492,0.8479963150621833,0.8479963150621833,0.8479963150621833,0.15059363220184435,0.31307755689172373,-0.2087573657849715,0.13317678255970197,0.6018331499468572,-0.37227534198150825,-0.15911585384239538,0.9538442864790169,-0.03820331365241544,0.7574039954279471,0.04393204541143956,-0.294617864861992,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.9,0.05802537114588982,-0.02920785647639634,-0.07153940206578384,-0.22263029099820666,-0.46048155452992556,-0.19236492771281447,-0.23968460154188906,0.009855620324337568,0.8479963150621833,0.8479963150621833,0.8479963150621833,0.15059363220184435,0.3035537473679142,-0.2087573657849715,0.13317678255970197,0.6018331499468572,-0.37227534198150825,-0.15911585384239538,0.9538442864790169,-0.03820331365241544,0.7574039954279471,0.04393204541143956,-0.294617864861992,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5,0.06001938909205134,-0.02920785647639634,-0.07153940206578384,-0.3389093607656486,-0.4568649180018966,-0.19236492771281447,-0.23968460154188906,0.013687037948858644,0.8479963150621833,0.8479963150621833,0.8479963150621833,0.15059363220184435,0.2987918426060094,-0.2087573657849715,0.13317678255970197,0.6018331499468572,-0.37227534198150825,-0.15911585384239538,0.9538442864790169,-0.03820331365241544,0.7574039954279471,0.04393204541143956,-0.294617864861992,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.3,0.08743713585177217,-0.02920785647639634,-0.07153940206578384,-0.30660961916358137,-0.44722055392715276,-0.19236492771281447,-0.23490677067710167,0.021349873197900753,0.8479963150621833,0.8479963150621833,0.8479963150621833,0.15059363220184435,0.2892680330821999,-0.2087573657849715,0.13317678255970197,0.6018331499468572,-0.37227534198150825,-0.15911585384239538,0.9538442864790169,-0.03820331365241544,0.7574039954279471,0.04393204541143956,-0.294617864861992,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.9,0.09042816277101444,-0.02920785647639634,-0.07153940206578384,-0.23425819797495087,-0.4417955991351094,-0.19236492771281447,-0.23012893981231428,0.024223436416291582,0.8479963150621833,0.8479963150621833,0.8479963150621833,0.15059363220184435,0.2845061283202951,-0.21280594878092293,0.13317678255970197,0.6018331499468572,-0.37227534198150825,-0.15911585384239538,0.9538442864790169,-0.03820331365241544,0.7574039954279471,0.04393204541143956,-0.294617864861992,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.3,0.08793564033831255,-0.02920785647639634,-0.07153940206578384,-0.2639739602488527,-0.4345623260790516,-0.19236492771281447,-0.23012893981231428,0.028054854040812656,0.8479963150621833,0.8479963150621833,0.8479963150621833,0.15059363220184435,0.27974422355839035,-0.21280594878092293,0.13317678255970197,0.6018331499468572,-0.37227534198150825,-0.15911585384239538,0.9538442864790169,-0.03820331365241544,0.7574039954279471,0.04393204541143956,-0.294617864861992,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.3,0.0914251717440952,-0.02920785647639634,-0.07153940206578384,-0.14769489048141085,-0.4273290530229937,-0.19236492771281447,-0.22535110894752688,0.03188627166533373,0.8479963150621833,0.8479963150621833,0.8479963150621833,0.15059363220184435,0.2702204140345808,-0.21280594878092293,0.13317678255970197,0.6018331499468572,-0.37227534198150825,-0.15911585384239538,0.9538442864790169,-0.03820331365241544,0.7574039954279471,0.04393204541143956,-0.294617864861992,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
