A,B,D1,D2,D4,D5,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F35,G,0,1,2,3,4,0,1,2,3,0,1,2,3,4,5,6
1.7,0.83,231,1393,11.5,10.14,0.5,0.5,2.5,20,6,8,24,1.89,0.25,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9,1.13,231,1393,2.7,10.19,0.5,0.5,2.54,20,6,8,24,1.88,0.25,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.6,1.41,231,1393,12.1,10.26,0.5,0.51,2.58,20,6,8,24,1.87,0.24,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.4,1.95,231,1393,9.7,10.34,0.5,0.51,2.62,20,6,8,24,1.86,0.24,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.9,2.17,231,1393,7.9,10.44,0.5,0.52,2.66,20,6,8,24,1.84,0.24,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5,2.21,231,1393,-1.1,10.5,0.5,0.52,2.7,20,6,8,24,1.83,0.24,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.3,2.76,231,1393,1.4,10.66,0.5,0.53,2.78,20,6,8,24,1.81,0.24,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.9,2.82,231,1393,7.0,10.75,0.5,0.54,2.81,20,6,8,24,1.8,0.23,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.3,2.77,231,1393,4.7,10.87,0.5,0.54,2.85,20,6,8,24,1.79,0.23,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.3,2.84,231,1393,13.7,10.99,0.5,0.55,2.89,20,6,8,24,1.77,0.23,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
