,A,B,C,D1,D2,D3,D4,D5,E1,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F34,F35,G,H
1,1.7,0.83,A,231,1393,,11.5,10.14,A,0.5,0.5,2.5,20,6,8,24,1.89,0.25,15.6,10993,0,35,296,0,0.97,0,11,1,A
2,0.9,1.13,A,231,1393,,2.7,10.19,A,0.5,0.5,2.54,20,6,8,24,1.88,0.25,15.6,10993,0,35,296,0,0.97,0,11,1,A
3,1.6,1.41,B,231,1393,,12.1,10.26,A,0.5,0.51,2.58,20,6,8,24,1.87,0.24,15.6,10993,0,35,296,0,0.97,0,11,1,A
4,2.4,1.95,B,231,1393,,9.7,10.34,A,0.5,0.51,2.62,20,6,8,24,1.86,0.24,15.6,10993,0,35,296,0,0.97,0,11,1,A
5,4.9,2.17,E,231,1393,,7.9,10.44,A,0.5,0.52,2.66,20,6,8,24,1.84,0.24,15.6,10993,0,35,296,0,0.97,0,11,1,A
6,0.5,2.21,E,231,1393,,-1.1,10.5,A,0.5,0.52,2.7,20,6,8,24,1.83,0.24,15.6,10993,0,35,296,0,0.97,0,11,1,A
7,1.3,2.76,E,231,1393,,1.4,10.66,A,0.5,0.53,2.78,20,6,8,24,1.81,0.24,15.6,10993,0,35,296,0,0.97,0,11,1,A
8,1.9,2.82,E,231,1393,,7,10.75,A,0.5,0.54,2.81,20,6,8,24,1.8,0.23,15.6,10993,0,35,296,0,0.97,0,11,1,A
9,2.3,2.77,E,231,1393,,4.7,10.87,A,0.5,0.54,2.85,20,6,8,24,1.79,0.23,15.6,10993,0,35,296,0,0.97,0,11,1,A
10,2.3,2.84,E,231,1393,,13.7,10.99,A,0.5,0.55,2.89,20,6,8,24,1.77,0.23,15.6,10993,0,35,296,0,0.97,0,11,1,A
11,3,2.58,E,231,1393,,6.8,11.15,A,0.5,0.55,2.93,20,6,8,24,1.75,0.23,15.6,10993,0,35,296,0,0.97,0,11,1,A
12,1.6,2.6,E,231,1393,,11.8,11.31,A,0.5,0.55,2.97,20,6,8,24,1.72,0.22,15.6,10993,0,35,296,0,0.97,0,11,1,A
13,2.7,2.35,E,231,1393,,9.5,11.49,A,0.5,0.56,3.01,20,6,8,24,1.7,0.22,15.6,10993,0,35,296,0,0.97,0,11,1,A
14,1.1,2.44,E,231,1393,,9.5,11.64,A,0.5,0.56,3.05,20,6,8,24,1.67,0.22,15.6,10993,0,35,296,0,0.97,0,11,1,A
15,1.7,2.41,E,231,1393,,6.9,11.83,A,0.5,0.57,3.09,20,6,8,24,1.65,0.21,15.6,10993,0,35,296,0,0.97,0,11,1,A
16,3.6,2.49,E,231,1393,,5,11.99,A,0.5,0.57,3.04,20,6,8,24,1.62,0.21,15.6,10993,0,35,296,0,0.97,0,11,1,A
17,1.7,2.13,E,231,1393,,9.7,12.15,A,0.5,0.58,3,20,6,8,24,1.6,0.21,15.6,10993,0,35,296,0,0.97,0,11,1,A
18,0.8,1.9,E,231,1393,,5.2,12.33,A,0.5,0.58,2.95,20,6,8,24,1.58,0.21,15.6,10993,0,35,296,0,0.97,0,11,1,A
19,1.8,1.93,E,231,1393,,8,12.5,A,0.5,0.59,2.91,20,6,8,24,1.56,0.2,15.6,10993,0,35,296,0,0.97,0,11,1,A
20,0.4,1.58,E,231,1393,,11,12.67,A,0.5,0.59,2.86,20,6,8,24,1.54,0.2,15.6,10993,0,35,296,0,0.97,0,11,1,A
21,2.5,1.55,E,231,1393,,11.5,12.85,A,0.5,0.6,2.77,20,6,8,24,1.52,0.2,15.6,10993,0,35,296,0,0.97,0,11,1,A
22,1,1.65,E,231,1393,,9.8,13.1,A,0.5,0.79,2.68,20,6,8,24,1.51,0.2,15.6,10993,0,35,296,0,0.97,0,11,1,A
23,0.9,1.48,E,231,1393,,14,13.2,A,0.5,0.89,2.64,20,6,8,24,1.49,0.19,15.6,10993,0,35,296,0,0.97,0,11,1,A
24,1.5,1.45,E,231,1393,,11.5,13.35,A,0.5,0.98,2.59,20,6,8,24,1.48,0.19,15.6,10993,0,35,296,0,0.97,0,11,1,A
25,1.4,1.52,E,231,1393,,16.8,13.52,A,0.5,1.08,2.54,20,6,8,24,1.47,0.19,15.6,10993,0,35,296,0,0.97,0,11,1,A
26,0.6,1.4,E,231,1393,,11.9,13.72,A,0.5,1.27,2.45,20,6,8,24,1.45,0.19,15.6,10993,0,35,296,0,0.97,0,11,1,A
27,0,1.59,E,231,1393,,10.1,13.96,A,0.5,1.36,2.41,20,6,8,24,1.44,0.19,15.6,10993,0,35,296,0,0.97,0,11,1,A
28,0.1,1.46,E,231,1393,,16.5,14.2,A,0.5,1.46,2.36,20,6,8,24,1.42,0.18,15.78,10993,0,35,296,0,0.97,0,11,1,A
29,1.8,1.25,E,231,1393,,10.8,14.44,A,0.5,1.55,2.32,20,6,8,24,1.41,0.18,16.07,10993,0,35,296,0,0.97,0,11,1,A
30,1,1.04,E,231,1393,,11.2,14.92,A,0.5,1.74,2.23,20,6,8,24,1.4,0.18,16.47,10993,0,35,296,0,0.97,0,11,1,A
31,0.8,1.14,E,231,1393,,15.5,15.13,A,0.5,1.84,2.18,20,6,8,24,1.38,0.18,17.83,10993,0,35,296,0,0.97,0,11,1,A
32,0.4,1.07,E,231,1393,,14.7,15.38,A,0.5,1.93,2.14,20,6,8,24,1.35,0.18,19.98,10993,0,35,296,0,0.97,0,11,1,A
33,0.5,1.22,E,231,1393,,25.6,15.73,A,0.5,2.03,2.09,20,6,8,24,1.33,0.17,22.23,10993,0,35,296,0,0.97,0,11,1,A
34,1,1.19,A,249,1411,,11.5,10.14,A,0.5,0.5,2.5,20,6,8,42,1.89,0.66,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
35,1.8,1.11,A,249,1411,,2.7,10.19,A,0.5,0.5,2.54,20,6,8,42,1.88,0.66,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
36,2.5,1.35,B,249,1411,,12.1,10.26,A,0.5,0.51,2.58,20,6,8,42,1.87,0.65,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
37,5.1,2.02,B,249,1411,,9.7,10.34,A,0.5,0.51,2.62,20,6,8,42,1.86,0.65,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
38,1.7,2.31,E,249,1411,,7.9,10.44,A,0.5,0.52,2.66,20,6,8,42,1.84,0.64,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
39,2.2,2.46,E,249,1411,,-1.1,10.5,A,0.5,0.52,2.7,20,6,8,42,1.83,0.64,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
40,2.2,3.17,E,249,1411,,1.4,10.66,A,0.5,0.53,2.78,20,6,8,42,1.81,0.63,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
41,3.9,3.27,E,249,1411,,7,10.75,A,0.5,0.54,2.81,20,6,8,42,1.8,0.63,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
42,3.1,3.4,E,249,1411,,4.7,10.87,A,0.5,0.54,2.85,20,6,8,42,1.79,0.62,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
43,3.3,3.42,E,249,1411,,13.7,10.99,A,0.5,0.55,2.89,20,6,8,42,1.77,0.62,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
44,2,3.18,E,249,1411,,6.8,11.15,A,0.5,0.55,2.93,20,6,8,42,1.75,0.61,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
45,3.7,3.28,E,249,1411,,11.8,11.31,A,0.5,0.55,2.97,20,6,8,42,1.72,0.6,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
46,1.3,3.03,E,249,1411,,9.5,11.49,A,0.5,0.56,3.01,20,6,8,42,1.7,0.59,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
47,2.9,3.02,E,249,1411,,9.5,11.64,A,0.5,0.56,3.05,20,6,8,42,1.67,0.58,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
48,4,3.04,E,249,1411,,6.9,11.83,A,0.5,0.57,3.09,20,6,8,42,1.65,0.58,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
49,2.5,3.19,E,249,1411,,5,11.99,A,0.5,0.57,3.04,20,6,8,42,1.62,0.57,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
50,1.6,2.77,E,249,1411,,9.7,12.15,A,0.5,0.58,3,20,6,8,42,1.6,0.56,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
